pm_start,pm_end,length,lanes,on_ramp,off_ramp,on_ramp_name,off_ramp_name,caltrans_pm_start,caltrans_pm_end,length_warning,fd_vds_id,vds_id,vds_pm,vds_lanes,vds_source,vds_distance_mi,vds_n_candidates,on_ramp_vds_id,off_ramp_vds_id,Notes
35.151394,35.358783,0.207389,5,True,False,,,24.79999932,24.99999972,ok,,400955,35.20550512,5,direct,0.0,1,403021,,
35.358783,35.558533,0.19975,5,True,True,,,24.99999972,25.20000036,too_short,,400955,35.20550512,5,nearest_upstream,-0.253152882,0,403024,,
35.558533,35.95025,0.391717,4,False,False,,,25.20000036,25.60000108,ok,,400495,35.81768373,4,direct,0.0,1,,,
35.95025,36.013193,0.062943,4,True,False,,,25.60000108,25.70000093,too_short,,400608,35.95095316,5,direct,0.0,1,410364,,
36.013193,36.345687,0.332494,5,True,True,,,25.70000093,25.99999958,ok,,400608,35.95095316,5,nearest_upstream,-0.228486844,0,410364,,
36.345687,37.264347,0.91866,4,False,False,,,25.99999958,26.89999995,ok,,400949,37.20572328,4,direct,0.0,1,,,
37.264347,37.818222,0.553875,5,True,True,,,26.89999995,27.49999955,ok,,400949,37.20572328,4,nearest_upstream,-0.335561224,0,403028,403030,
37.818222,38.476992,0.65877,4,False,False,,,27.49999955,28.10000025,ok,,400678,37.89683463,4,direct_tiebreak,0.0,2,,,
38.476992,38.903162,0.42617,4,True,True,,,28.10000025,28.50000015,ok,,400678,37.89683463,4,nearest_upstream,-0.793242373,0,403034,403036,
38.903162,39.133346,0.230184,4,False,False,,,28.50000015,28.79999946,ok,,400607,39.01983583,4,direct,0.0,1,,,
39.133346,39.234795,0.101449,5,True,True,,,28.79999946,28.90000011,too_short,,400607,39.01983583,4,nearest_upstream,-0.164234668,0,403041,403039,
39.234795,39.628134,0.393339,4,False,False,,,28.90000011,29.29999885,ok,,400682,39.46930643,4,direct_tiebreak,0.0,2,,,
39.628134,40.626957,0.998823,4,True,True,,,29.29999885,30.20000125,ok,,400682,39.46930643,4,nearest_upstream,-0.658239073,0,403044,,
40.626957,41.2256,0.598643,4,False,True,,,30.20000125,30.89999956,ok,,400682,39.46930643,4,nearest_upstream,-1.456972073,0,,408139,
41.2256,41.482198,0.256598,4,False,True,,,30.89999956,31.10000033,ok,,408138,41.32136055,4,direct,0.0,1,,,
41.482198,41.885739,0.403541,4,False,False,,,31.10000033,31.49999953,ok,,400980,41.78526986,4,direct,0.0,1,,,
41.885739,42.078786,0.193047,5,True,False,,,31.49999953,31.70000039,too_short,,400980,41.78526986,4,nearest_upstream,-0.196992639,0,403047,,
42.078786,42.285065,0.206279,4,False,True,,,31.70000039,31.90000002,ok,,400980,41.78526986,4,nearest_upstream,-0.396655639,0,,,
42.285065,43.295694,1.010629,3,False,False,,,31.90000002,32.90000137,too_long,,401142,42.66800101,3,direct_tiebreak,0.0,3,,,
43.295694,43.555432,0.259738,4,True,True,,,32.90000137,33.20000002,ok,,401142,42.66800101,3,nearest_upstream,-0.757561989,0,,,
43.555432,44.372305,0.816873,3,False,True,,,33.20000002,1.16e-05,ok,,400765,44.13322897,4,direct_tiebreak,0.0,3,,,
44.372305,45.21797,0.845665,2,False,False,,,1.16e-05,34.90000163,ok,,400844,45.1488509,2,direct,0.0,1,,,
45.21797,46.164102,0.946132,3,True,False,,,34.90000163,35.79700134,ok,,401143,45.28566547,2,direct,0.0,1,403104,,
46.164102,46.24132,0.077218,3,True,False,,,35.79700134,35.87421934,too_short,,401143,45.28566547,2,nearest_upstream,-0.917045531,0,,,
